,precinct_name,contest_title,category,race_winner,race_winning_perc,race_win_votes,ballots_cast_total,prez_winner,prez_winning_perc,prez_votes,prez_total_votes,losing_prez_votes
0,113001,Member of Assembly District 13,Assembly District,Charles D. Lavine,54.46428571428571,427.0,784.0,Donald J. Trump,52.30224321133412,443.0,847.0,404.0
1,113001,Presidential Electors for President and Vice President,President,Donald J. Trump,52.30224321133412,443.0,847.0,Donald J. Trump,52.30224321133412,443.0,847.0,404.0
2,113001,Representative in Congress District 3,Congressional District,Thomas R. Suozzi,59.75757575757575,493.0,825.0,Donald J. Trump,52.30224321133412,443.0,847.0,404.0
3,113001,State Senator District 7,State Senate District,Jack M. Martins,51.71974522292994,406.0,785.0,Donald J. Trump,52.30224321133412,443.0,847.0,404.0
4,113001,United States Senator,US Senator,Kirsten E. Gillibrand,50.42839657282742,412.0,817.0,Donald J. Trump,52.30224321133412,443.0,847.0,404.0
5,113002,Member of Assembly District 13,Assembly District,Charles D. Lavine,57.38255033557047,342.0,596.0,Kamala D. Harris,53.58255451713395,344.0,642.0,298.0
6,113002,Presidential Electors for President and Vice President,President,Kamala D. Harris,53.58255451713395,344.0,642.0,Kamala D. Harris,53.58255451713395,344.0,642.0,298.0
7,113002,Representative in Congress District 3,Congressional District,Thomas R. Suozzi,61.53846153846154,384.0,624.0,Kamala D. Harris,53.58255451713395,344.0,642.0,298.0
8,113002,State Senator District 7,State Senate District,Kim Keiserman,51.50501672240802,308.0,598.0,Kamala D. Harris,53.58255451713395,344.0,642.0,298.0
9,113002,United States Senator,US Senator,Kirsten E. Gillibrand,53.69774919614147,334.0,622.0,Kamala D. Harris,53.58255451713395,344.0,642.0,298.0
10,113003,Member of Assembly District 13,Assembly District,Charles D. Lavine,61.137440758293835,258.0,422.0,Kamala D. Harris,53.65853658536586,242.0,451.0,209.0
11,113003,Presidential Electors for President and Vice President,President,Kamala D. Harris,53.65853658536586,242.0,451.0,Kamala D. Harris,53.65853658536586,242.0,451.0,209.0
12,113003,Representative in Congress District 3,Congressional District,Thomas R. Suozzi,62.5,275.0,440.0,Kamala D. Harris,53.65853658536586,242.0,451.0,209.0
13,113003,State Senator District 7,State Senate District,Kim Keiserman,56.00000000000001,238.0,425.0,Kamala D. Harris,53.65853658536586,242.0,451.0,209.0
14,113003,United States Senator,US Senator,Kirsten E. Gillibrand,57.47126436781609,250.0,435.0,Kamala D. Harris,53.65853658536586,242.0,451.0,209.0
15,113004,Member of Assembly District 13,Assembly District,Charles D. Lavine,52.16216216216216,386.0,740.0,Donald J. Trump,54.49936628643853,430.0,789.0,359.0
16,113004,Presidential Electors for President and Vice President,President,Donald J. Trump,54.49936628643853,430.0,789.0,Donald J. Trump,54.49936628643853,430.0,789.0,359.0
17,113004,Representative in Congress District 3,Congressional District,Thomas R. Suozzi,56.09436435124508,428.0,763.0,Donald J. Trump,54.49936628643853,430.0,789.0,359.0
18,113004,State Senator District 7,State Senate District,Jack M. Martins,54.0650406504065,399.0,738.0,Donald J. Trump,54.49936628643853,430.0,789.0,359.0
19,113004,United States Senator,US Senator,Michael D. Sapraicone,50.39267015706807,385.0,764.0,Donald J. Trump,54.49936628643853,430.0,789.0,359.0
20,113005,Member of Assembly District 13,Assembly District,Charles D. Lavine,56.27306273062731,305.0,542.0,Donald J. Trump,50.08726003490401,287.0,573.0,286.0
21,113005,Presidential Electors for President and Vice President,President,Donald J. Trump,50.08726003490401,287.0,573.0,Donald J. Trump,50.08726003490401,287.0,573.0,286.0
22,113005,Representative in Congress District 3,Congressional District,Thomas R. Suozzi,59.0339892665474,330.0,559.0,Donald J. Trump,50.08726003490401,287.0,573.0,286.0
23,113005,State Senator District 7,State Senate District,Jack M. Martins,51.56537753222836,280.0,543.0,Donald J. Trump,50.08726003490401,287.0,573.0,286.0
24,113005,United States Senator,US Senator,Kirsten E. Gillibrand,52.07956600361664,288.0,553.0,Donald J. Trump,50.08726003490401,287.0,573.0,286.0
25,113006,Member of Assembly District 13,Assembly District,Charles D. Lavine,55.83203732503888,359.0,643.0,Kamala D. Harris,53.49182763744428,360.0,673.0,313.0
26,113006,Presidential Electors for President and Vice President,President,Kamala D. Harris,53.49182763744428,360.0,673.0,Kamala D. Harris,53.49182763744428,360.0,673.0,313.0
27,113006,Representative in Congress District 3,Congressional District,Thomas R. Suozzi,58.67895545314901,382.0,651.0,Kamala D. Harris,53.49182763744428,360.0,673.0,313.0
28,113006,State Senator District 7,State Senate District,Kim Keiserman,52.53164556962025,332.0,632.0,Kamala D. Harris,53.49182763744428,360.0,673.0,313.0
29,113006,United States Senator,US Senator,Kirsten E. Gillibrand,54.72868217054263,353.0,645.0,Kamala D. Harris,53.49182763744428,360.0,673.0,313.0
30,113007,Member of Assembly District 13,Assembly District,Charles D. Lavine,58.73959571938169,494.0,841.0,Kamala D. Harris,56.48351648351648,514.0,910.0,396.0
31,113007,Presidential Electors for President and Vice President,President,Kamala D. Harris,56.48351648351648,514.0,910.0,Kamala D. Harris,56.48351648351648,514.0,910.0,396.0
32,113007,Representative in Congress District 3,Congressional District,Thomas R. Suozzi,61.52954808806489,531.0,863.0,Kamala D. Harris,56.48351648351648,514.0,910.0,396.0
33,113007,State Senator District 7,State Senate District,Kim Keiserman,55.72609208972845,472.0,847.0,Kamala D. Harris,56.48351648351648,514.0,910.0,396.0
34,113007,United States Senator,US Senator,Kirsten E. Gillibrand,56.9620253164557,495.0,869.0,Kamala D. Harris,56.48351648351648,514.0,910.0,396.0
35,113008,Member of Assembly District 13,Assembly District,Charles D. Lavine,52.67702936096719,305.0,579.0,Donald J. Trump,51.82250396196514,327.0,631.0,304.0
36,113008,Presidential Electors for President and Vice President,President,Donald J. Trump,51.82250396196514,327.0,631.0,Donald J. Trump,51.82250396196514,327.0,631.0,304.0
37,113008,Representative in Congress District 3,Congressional District,Thomas R. Suozzi,56.38474295190713,340.0,603.0,Donald J. Trump,51.82250396196514,327.0,631.0,304.0
38,113008,State Senator District 7,State Senate District,Jack M. Martins,54.973821989528794,315.0,573.0,Donald J. Trump,51.82250396196514,327.0,631.0,304.0
39,113008,United States Senator,US Senator,Kirsten E. Gillibrand,50.413223140495866,305.0,605.0,Donald J. Trump,51.82250396196514,327.0,631.0,304.0
40,113010,Member of Assembly District 13,Assembly District,Ruka Anzai,53.987730061349694,352.0,652.0,Donald J. Trump,60.22889842632332,421.0,699.0,278.0
41,113010,Presidential Electors for President and Vice President,President,Donald J. Trump,60.22889842632332,421.0,699.0,Donald J. Trump,60.22889842632332,421.0,699.0,278.0
42,113010,Representative in Congress District 3,Congressional District,Thomas R. Suozzi,50.43478260869565,348.0,690.0,Donald J. Trump,60.22889842632332,421.0,699.0,278.0
43,113010,State Senator District 7,State Senate District,Jack M. Martins,60.2760736196319,393.0,652.0,Donald J. Trump,60.22889842632332,421.0,699.0,278.0
44,113010,United States Senator,US Senator,Michael D. Sapraicone,55.91240875912409,383.0,685.0,Donald J. Trump,60.22889842632332,421.0,699.0,278.0
45,113011,Member of Assembly District 13,Assembly District,Charles D. Lavine,58.23863636363637,410.0,704.0,Kamala D. Harris,52.617801047120416,402.0,764.0,362.0
46,113011,Presidential Electors for President and Vice President,President,Kamala D. Harris,52.617801047120416,402.0,764.0,Kamala D. Harris,52.617801047120416,402.0,764.0,362.0
47,113011,Representative in Congress District 3,Congressional District,Thomas R. Suozzi,61.11869031377899,448.0,733.0,Kamala D. Harris,52.617801047120416,402.0,764.0,362.0
48,113011,State Senator District 7,State Senate District,Kim Keiserman,52.41477272727273,369.0,704.0,Kamala D. Harris,52.617801047120416,402.0,764.0,362.0
49,113011,United States Senator,US Senator,Kirsten E. Gillibrand,54.381084840055635,391.0,719.0,Kamala D. Harris,52.617801047120416,402.0,764.0,362.0
50,113012,Member of Assembly District 13,Assembly District,Ruka Anzai,50.09823182711198,255.0,509.0,Donald J. Trump,57.726465364120784,325.0,563.0,238.0
